  0  0.4009055      0.0000000  2009840  -80903.7945558    299.4124514	0.0000000
  1  0.3879731  -1040.0588060  2000850  -79930.1370967    304.9844749	-1040.0268097
  2  0.3758489  -2003.5152710  1992189  -78995.4510717    310.2047779	-2003.4788874
  3  0.3644596  -2898.0026268  1985171  -78072.3347032    315.5391629	-2897.9585100
  4  0.3537402  -3730.2068151  1985005  -77189.0578336    320.7270891	-3730.1392230
  5  0.3436333  -4506.1683255  1973895  -76357.8937355    326.5818506	-4506.1046339
  6  0.3340879  -5230.9229944  1968598  -75491.6940330    330.8857078	-5230.8535450
  7  0.3250585  -5909.0279257  1960171  -74698.8003164    335.9794256	-5908.9402744
  8  0.3165043  -6544.6537039  1954751  -73911.5838667    340.5455426	-6544.5760911
  9  0.3083889  -7141.3063117  1947550  -73121.4363636    345.9622232	-7141.2201194
 10  0.3006791  -7702.2013589  1940993  -72380.7102936    350.4952348	-7702.1246186
 11  0.2933455  -8230.0633074  1936652  -71591.9967449    357.1275417	-8230.0544510
