  0  0.4009055      0.0000000  2009840  -80903.7952235    299.4004219	0.0000000
  1  0.3879731  -1040.0587523  2000850  -79930.1355154    304.9698774	-1040.0268097
  2  0.3758489  -2003.5152152  1992189  -78995.4505559    310.1912370	-2003.4788874
  3  0.3644596  -2898.0025857  1985171  -78072.3351744    315.5263894	-2897.9585100
  4  0.3537402  -3730.2067944  1985005  -77189.0574419    320.7159861	-3730.1392230
  5  0.3436333  -4506.1683313  1973895  -76357.8936440    326.5701638	-4506.1046339
  6  0.3340879  -5230.9229127  1968598  -75491.6961802    330.8704613	-5230.8535450
  7  0.3250585  -5909.0278679  1960171  -74698.8008518    335.9661580	-5908.9402744
  8  0.3165043  -6544.6536352  1954751  -73911.5815403    340.5318120	-6544.5760911
  9  0.3083889  -7141.3062682  1947550  -73121.4364057    345.9468768	-7141.2201194
 10  0.3006791  -7702.2013414  1940993  -72380.7083495    350.4873170	-7702.1246186
 11  0.2933455  -8230.0632221  1936652  -71591.9973242    357.1143715	-8230.0544510
