  0  0.4009055      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000  -80903.7989733    299.4000163  2009840	0.0000000
  1  0.3879731  -1039.9872829  -1040.0341961  -1040.0684672  -1038.8164154  -1041.3767373  -1040.0272122  -79930.1392146    304.9694695  2000850	-1040.0268097
  2  0.3758489  -2003.4068262  -2003.4930873  -2003.5581288  -2000.8968744  -2006.0371379  -2003.4796531  -78995.4546530    310.1911738  1992189	-2003.4788874
  3  0.3644596  -2897.8577269  -2897.9800754  -2898.0772726  -2894.3372021  -2901.6055728  -2897.9592537  -78072.3388923    315.5264735  1985171	-2897.9585100
  4  0.3537402  -3730.0121426  -3730.1661070  -3730.2974051  -3725.5824557  -3734.8423970  -3730.1385510  -77189.0611165    320.7159431  1985005	-3730.1392230
  5  0.3436333  -4505.9510664  -4506.1372871  -4506.2921066  -4500.3697523  -4511.8443404  -4506.1044216  -76357.8974571    326.5701448  1973895	-4506.1046339
  6  0.3340879  -5230.6813052  -5230.8889935  -5231.0681380  -5224.3293815  -5237.3067328  -5230.8521326  -75491.7004865    330.8706776  1968598	-5230.8535450
  7  0.3250585  -5908.7466279  -5908.9774023  -5909.1746740  -5901.4734242  -5916.2674159  -5908.9363707  -74698.8047573    335.9662516  1960171	-5908.9402744
  8  0.3165043  -6544.3660137  -6544.6156218  -6544.8329542  -6536.2306731  -6552.7401468  -6544.5725284  -73911.5852574    340.5318219  1954751	-6544.5760911
  9  0.3083889  -7140.9889854  -7141.2589950  -7141.4929168  -7132.1755815  -7150.0333088  -7141.2137267  -73121.4401464    345.9466657  1947550	-7141.2201194
 10  0.3006791  -7701.8795060  -7702.1651777  -7702.4193121  -7692.2880105  -7711.6435778  -7702.1189830  -72380.7121309    350.4868945  1940993	-7702.1246186
 11  0.2933455  -8229.8013385  -8230.1080283  -8230.3712415  -8219.7523778  -8240.0422231  -8230.0603405  -71592.0013311    357.1143412  1936652	-8230.0544510
