  0  0.4009055      0.0000000  2009840  -80903.7952235    299.4003475	0.0000000
  1  0.3879731  -1040.0267607  2000850  -79930.1355154    304.9698012	-1040.0268101
  2  0.3758489  -2003.4787889  1992189  -78995.4505559    310.1911592	-2003.4788882
  3  0.3644596  -2897.9583638  1985171  -78072.3351744    315.5263100	-2897.9585115
  4  0.3537402  -3730.1390378  1985005  -77189.0574419    320.7159053	-3730.1392250
  5  0.3436333  -4506.1044096  1973895  -76357.8936440    326.5700811	-4506.1046364
  6  0.3340879  -5230.8532811  1968598  -75491.6961802    330.8703773	-5230.8535478
  7  0.3250585  -5908.9399746  1960171  -74698.8008518    335.9660723	-5908.9402773
  8  0.3165043  -6544.5757589  1954751  -73911.5815403    340.5317249	-6544.5760939
  9  0.3083889  -7141.2197590  1947550  -73121.4364057    345.9467880	-7141.2201219
 10  0.3006791  -7702.1242303  1940993  -72380.7083495    350.4872267	-7702.1246209
 11  0.2933455  -8230.0540328  1936652  -71591.9973242    357.1142793	-8230.0544532
