  0  0.4009055      0.0000000  2009840  -80903.8111491    300.7815797	0.0000000
  1  0.3879731  -1040.0654059  2000850  -79930.1185996    306.3572189	-1040.0268097
  2  0.3758489  -2003.5216896  1992189  -78995.4570826    311.5253415	-2003.4788874
  3  0.3644596  -2898.0094284  1985171  -78072.3431130    316.8816997	-2897.9585100
  4  0.3537402  -3730.2139238  1985005  -77189.0727983    321.9632008	-3730.1392230
  5  0.3436333  -4506.1751622  1973895  -76357.9029026    327.8546692	-4506.1046339
  6  0.3340879  -5230.9297963  1968598  -75491.7024197    332.1313452	-5230.8535450
  7  0.3250585  -5909.0352776  1960171  -74698.8389533    337.1719106	-5908.9402744
  8  0.3165043  -6544.6606699  1954751  -73911.6089722    341.7333989	-6544.5760911
  9  0.3083889  -7141.3135341  1947550  -73121.4294883    347.1566441	-7141.2201194
 10  0.3006791  -7702.2076498  1940993  -72380.7167002    351.6423101	-7702.1246186
 11  0.2933455  -8230.0628864  1936652  -71592.0117295    358.3015433	-8230.0544510
