  0  0.4009055      0.0000000  2009840  -80903.8111491    300.7815049	0.0000000
  1  0.3879731  -1040.0270239  2000850  -79930.1185996    306.3571424	-1040.0268101
  2  0.3758489  -2003.4786007  1992189  -78995.4570826    311.5252633	-2003.4788882
  3  0.3644596  -2897.9584041  1985171  -78072.3431130    316.8816199	-2897.9585115
  4  0.3537402  -3730.1384013  1985005  -77189.0727983    321.9631197	-3730.1392250
  5  0.3436333  -4506.1038693  1973895  -76357.9029026    327.8545862	-4506.1046364
  6  0.3340879  -5230.8528838  1968598  -75491.7024197    332.1312608	-5230.8535478
  7  0.3250585  -5908.9398420  1960171  -74698.8389533    337.1718246	-5908.9402773
  8  0.3165043  -6544.5759279  1954751  -73911.6089722    341.7333115	-6544.5760939
  9  0.3083889  -7141.2202696  1947550  -73121.4294883    347.1565550	-7141.2201219
 10  0.3006791  -7702.1245598  1940993  -72380.7167002    351.6422195	-7702.1246209
 11  0.2933455  -8230.0541824  1936652  -71592.0117295    358.3014508	-8230.0544532
